OSEBuildingID,CouncilDistrictCode,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),NumberofFloors,YearBuilt,Longitude,BuildingType,PrimaryPropertyType,Neighborhood,DefaultData,Latitude,ComplianceStatus,NumberofBuildings,TotalGHGEmissions,ListOfAllPropertyUseTypes,LargestPropertyUseTypeGFA,LargestPropertyUseType,ENERGYSTARScore,Electricity,NaturalGas,SteamUse,OtherFuelUse,SiteEnergyUse(kBtu)
24431,3.0,40800.0,0.0,40800.0,4.0,1928.0,-122.32246479999999,Multifamily LR (1-4),Low-Rise Multifamily,EAST,No,47.619046065,Compliant,1.0,109.215,Multifamily Housing,40800.0,Multifamily Housing,84.0,0.16681358379099404,0.8331899505360535,0.0,0.0,2404984.0
24432,3.0,39226.0,1206.0,38020.0,5.0,1965.0,-122.32255115000001,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,No,47.61933356,Compliant,1.0,6.525,Multifamily Housing,39226.0,Multifamily Housing,78.5,1.0000214718244416,0.0,0.0,0.0,935819.40625
24435,3.0,36000.0,0.0,36000.0,2.0,1907.0,-122.31992195000001,NonResidential,Small- and Mid-Sized Office,EAST,No,47.613508065000005,Compliant,1.0,18.575,"Office, Other",27600.0,Office,94.5,0.7700126633354055,0.23000360432113914,0.0,0.0,1056544.3125
24441,3.0,23469.0,0.0,23469.0,3.0,1905.0,-122.31849134999999,Multifamily LR (1-4),Low-Rise Multifamily,EAST,No,47.613910785,Compliant,1.0,65.315,Multifamily Housing,23469.0,Multifamily Housing,12.0,0.2352615413031863,0.7647430682875281,0.0,0.0,1545690.375
24444,3.0,21000.0,0.0,21000.0,3.0,1916.0,-122.31771688,Multifamily LR (1-4),Low-Rise Multifamily,EAST,No,47.613139125000004,Compliant,1.0,68.56,Multifamily Housing,21000.0,Multifamily Housing,14.5,0.2515964573993322,0.7484086502655134,0.0,0.0,1651929.0625
24448,3.0,36000.0,0.0,36000.0,1.0,1913.0,-122.31723510999998,NonResidential,Mixed Use Property,EAST,No,47.613230105,Compliant,1.0,25.58,"Parking, Retail Store",18000.0,Parking,60.0,0.665230071515136,0.33478389746179305,0.0,0.0,1140921.0625
24451,3.0,43200.0,0.0,43200.0,2.0,1915.0,-122.31776769999999,NonResidential,Warehouse,EAST,No,47.614676415000005,Compliant,1.0,47.195,Non-Refrigerated Warehouse,43200.0,Non-Refrigerated Warehouse,31.5,0.6527501168387508,0.34726510843500874,0.0,0.0,2052508.25
24458,2.0,53840.0,12870.0,40970.0,4.0,1913.0,-122.32853415,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,No,47.594996665,Compliant,1.0,45.345,"Office, Parking",42800.0,Office,70.5,0.8086938029207759,0.19132279036740893,0.0,0.0,2870136.375
24461,2.0,43794.0,0.0,43794.0,1.0,1975.0,-122.32949966499999,NonResidential,Retail Store,GREATER DUWAMISH,No,47.588078104999994,Compliant,1.0,20.45,"Office, Retail Store",34038.0,Retail Store,87.0,0.7622447819099999,0.23777199766051113,0.0,0.0,1139778.875
24472,2.0,48280.0,0.0,48280.0,1.0,1968.0,-122.33086745,NonResidential,Warehouse,GREATER DUWAMISH,No,47.574662599999996,Compliant,1.0,64.87,"Non-Refrigerated Warehouse, Office",40780.0,Non-Refrigerated Warehouse,22.5,0.5646320456986642,0.43537926853627534,0.0,0.0,2397422.375
24473,2.0,36040.0,0.0,36040.0,1.0,1954.0,-122.3306743,NonResidential,Distribution Center,GREATER DUWAMISH,No,47.572630665000005,Compliant,1.0,8.045,"Distribution Center, Office",31476.0,Distribution Center,,0.6693442929682478,0.3306692629574143,0.0,0.0,361926.59375
24479,4.0,32822.0,0.0,32822.0,1.0,1965.0,-122.28921894999999,NonResidential,Supermarket / Grocery Store,NORTHEAST,No,47.682599405000005,Compliant,1.0,228.135,"Parking, Supermarket/Grocery Store",35042.0,Supermarket/Grocery Store,42.5,0.6012035648527301,0.3988088909569487,0.0,0.0,8991788.0
24481,4.0,20144.0,0.0,20144.0,2.0,1961.0,-122.28926365000001,Multifamily LR (1-4),Low-Rise Multifamily,NORTHEAST,No,47.68148846,Compliant,1.0,4.494999999999999,Multifamily Housing,20144.0,Multifamily Housing,55.5,1.0000200486416853,0.0,0.0,0.0,645305.5625
24482,4.0,64314.0,0.0,64314.0,1.0,1948.0,-122.27556655000001,SPS-District K-12,K-12 School,NORTHEAST,Yes,47.68069697,Error - Correct Default Data,1.0,104.845,K-12 School,65210.0,K-12 School,86.5,0.359147006256617,0.6408602688287814,0.0,0.0,2869382.125
24484,4.0,20385.0,0.0,20385.0,2.0,1950.0,-122.28999045,NonResidential,Worship Facility,NORTHEAST,No,47.68066811999999,Compliant,1.0,34.16,Worship Facility,20385.0,Worship Facility,65.0,0.24013144069782094,0.7598742117228359,0.0,0.0,812704.90625
